month,fuel_type,number
2024-02-01,Alternative Fuel Vehicles,1899
2024-03-01,Conventional Fuel Vehicles,579
2024-03-01,Alternative Fuel Vehicles,2929
2024-04-01,Conventional Fuel Vehicles,665
2024-04-01,Alternative Fuel Vehicles,2787
2024-05-01,Conventional Fuel Vehicles,552
2024-05-01,Alternative Fuel Vehicles,2636
2024-06-01,Conventional Fuel Vehicles,724
2024-06-01,Alternative Fuel Vehicles,3050
2024-07-01,Conventional Fuel Vehicles,734
2024-07-01,Alternative Fuel Vehicles,3183
2024-08-01,Conventional Fuel Vehicles,760
2024-08-01,Alternative Fuel Vehicles,3189
2024-09-01,Conventional Fuel Vehicles,719
2024-09-01,Alternative Fuel Vehicles,3406
2024-10-01,Conventional Fuel Vehicles,611
2024-10-01,Alternative Fuel Vehicles,2796
2024-11-01,Conventional Fuel Vehicles,643
2024-11-01,Alternative Fuel Vehicles,2963
2024-12-01,Conventional Fuel Vehicles,701
2024-12-01,Alternative Fuel Vehicles,4741
2025-01-01,Conventional Fuel Vehicles,434
2025-01-01,Alternative Fuel Vehicles,2269
2025-02-01,Conventional Fuel Vehicles,693
2025-02-01,Alternative Fuel Vehicles,3185
2025-03-01,Conventional Fuel Vehicles,747
2025-03-01,Alternative Fuel Vehicles,3586
2025-04-01,Conventional Fuel Vehicles,683
2025-04-01,Alternative Fuel Vehicles,3266
2025-05-01,Conventional Fuel Vehicles,640
2025-05-01,Alternative Fuel Vehicles,3815
2025-06-01,Conventional Fuel Vehicles,678
2025-06-01,Alternative Fuel Vehicles,3961
2025-07-01,Conventional Fuel Vehicles,699
2025-07-01,Alternative Fuel Vehicles,3927
